pathway	overlap_size	pathway_size	p-value	overlap_features (name)	overlap_features (id)	used_input_mzs
Tryptophan metabolism	17	54	0.000680833	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$Formyl-5-hydroxykynurenamine$L-Kynurenine; 3-Anthraniloyl-L-alanine$Formyl-N-acetyl-5-methoxykynurenamine$5-Hydroxyindoleacetate$Cinnavalininate$3-(2-Aminoethyl)-1H-indol-5-ol; Serotonin; 5-Hydroxytryptamine; Enteramine$5-Hydroxyindoleacetaldehyde$5-Hydroxy-N-formylkynurenine; 5-Hydroxy-N-formyl-L-kynurenine$$2-Aminomuconate semialdehyde; 2-Aminomuconate 6-semialdehyde$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione$5-Hydroxy-L-tryptophan$5-hydroxytryptophol$2-Aminomuconate; 2-Aminomuconic acid; o-Aminomuconate$xanthurenate-8-O-beta-D-glucoside$Indole-3-acetate; Indole-3-acetic acid; (Indol-3-yl)acetate; Indoleacetate; Indoleacetic acid	C00025;C05647;C00328;C05642;C05635;C05640;C00780;C05634;C05648;C00936;C03824;C00051;C00643;CE1918;C02220;CE2947;C00954	"170.0414;277.0784,277.0812;277.0784,277.0812;333.103;260.0516;303.0437,303.0437;177.1024;177.0723,176.0692,176.069;275.0662;180.0645;142.0501;310.0853,310.0853,309.0929;289.0779;179.0898;159.0492,158.044;451.0505;177.0723,176.0692,176.069"
N-Glycan biosynthesis	6	11	0.000708252	"D-Mannose; Mannose; Seminose; Carubinose$D-Glucose; Grape sugar; Dextrose$CMP-N-acetylneuraminate$Isopentenyl diphosphate; delta3-Isopentenyl diphosphate; delta3-Methyl-3-butenyl diphosphate$N,N'-Diacetylchitobiosyldiphosphodolichol; Chitobiosyldiphosphodolichol$CMP; Cytidine-5'-monophosphate; Cytidylic acid"	C00159;C00031;C00128;C00129;C04537;C00055	"180.0645;180.0645;617.1579;135.0023;865.2138;326.0566,362.0125,326.0566"
Purine metabolism	12	36	0.000798903	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$Inosine$Guanine; 2-Amino-6-hydroxypurine$Deoxyguanosine; 2'-Deoxyguanosine$5-Phospho-alpha-D-ribose 1-diphosphate; 5-Phosphoribosyl diphosphate; 5-Phosphoribosyl 1-pyrophosphate; PRPP$Adenine; 6-Aminopurine$Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP$dADP; 2'-Deoxyadenosine 5'-diphosphate$Deoxyadenosine; 2'-Deoxyadenosine$2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine; 1-(5'-Phosphoribosyl)-N-formylglycinamidine; 5'-Phosphoribosyl-N-formylglycinamidine; 5'-Phosphoribosylformylglycinamidine; 2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine$L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid$Allantoin; 5-Ureidohydantoin; Glyoxyldiureide$Adenosine$1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole; 1-(5'-Phosphoribosyl)-4-(N-succinocarboxamide)-5-aminoimidazole; 5'-Phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole; (S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate; SAICAR	C00025;C00294;C00242;C00330;C00119;C00147;C00074;C00206;C00559;C04640;C00049;C01551;C00212;C04823	"170.0414;307.042;220.0421;306.0621;392.9592;158.044,136.0623;168.9891;414.0358,414.0358;274.0914;158.044;134.0441;158.044;306.0621;493.0394"
Aminosugars metabolism	10	28	0.000820342	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$CMP-N-acetylneuraminate$N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc$D-Glucosamine 6-phosphate; D-Glucosamine phosphate$Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP$N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose$CMP; Cytidine-5'-monophosphate; Cytidylic acid$CMP-N-glycoloylneuraminate; CMP-N-glycolylneuraminate; CMP-NeuNGc$N-Glycoloyl-neuraminate; N-Glycolylneuraminate; NeuNGc$N-Acetyl-D-galactosamine; N-Acetyl-D-chondrosamine; 2-Acetamido-2-deoxy-D-galactose	C00025;C00128;C00140;C00352;C00074;C00645;C00055;C03691;C03410;C01132	"170.0414;617.1579;221.0881,260.0516;260.0516,131.0331;168.9891;221.0881,260.0516;326.0566,362.0125,326.0566;316.5773;364.0613;221.0881,260.0516"
Glycosphingolipid biosynthesis - ganglioseries	5	9	0.000858411	CMP-N-acetylneuraminate$CMP; Cytidine-5'-monophosphate; Cytidylic acid$D-Galactose$N-Acetyl-D-galactosamine; N-Acetyl-D-chondrosamine; 2-Acetamido-2-deoxy-D-galactose$Galactose	C00128;C00055;C00124;C01132;C01582	"617.1579;326.0566,362.0125,326.0566;180.0645;221.0881,260.0516;180.0645"
Sialic acid metabolism	9	26	0.001014025	D-Galactose$beta-D-Glucose$CMP-N-acetylneuraminate$N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc$D-Galactosyl-3-(N-acetyl-beta-D-galactosaminyl)-L-serine$alpha-D-Glucose$Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP$Galactose$N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose$CMP; Cytidine-5'-monophosphate; Cytidylic acid$myo-Inositol; D-myo-Inositol; 1D-myo-Inositol; L-myo-Inositol; 1L-myo-Inositol; meso-Inositol; Inositol; Dambose; Cyclohexitol; Meat sugar; Bios I$Galactan$N-Acetyl-D-galactosamine; N-Acetyl-D-chondrosamine; 2-Acetamido-2-deoxy-D-galactose	C00124;C00221;C00128;C00140;C04776;C00267;C00074;C01582;C00645;C00055;C00137;C05796;C01132	"180.0645;180.0645;617.1579;221.0881,260.0516;236.0944;180.0645;168.9891;180.0645;221.0881,260.0516;326.0566,362.0125,326.0566;180.0645;371.1583;221.0881,260.0516"
Glycosphingolipid metabolism	8	23	0.001192449	"D-Galactose$Sphinganine; Dihydrosphingosine; 2-Amino-1,3-dihydroxyoctadecane$D-Glucose; Grape sugar; Dextrose$CMP-N-acetylneuraminate$Galactose$CMP; Cytidine-5'-monophosphate; Cytidylic acid$N-Acetyl-D-galactosamine; N-Acetyl-D-chondrosamine; 2-Acetamido-2-deoxy-D-galactose$Sphingosine; Sphingenine; Sphingoid; Sphing-4-enine$3-Dehydrosphinganine; 3-Dehydro-D-sphinganine$beta-D-Galactose"	C00124;C00836;C00031;C00128;C01582;C00055;C01132;C00319;C02934;C00962	"180.0645;302.304;180.0645;617.1579;180.0645;326.0566,362.0125,326.0566;221.0881,260.0516;300.2883;300.2883;180.0645"
Glycosphingolipid biosynthesis - globoseries	4	7	0.001228854	CMP-N-acetylneuraminate$CMP; Cytidine-5'-monophosphate; Cytidylic acid$alpha-D-Galactose$N-Acetyl-D-galactosamine; N-Acetyl-D-chondrosamine; 2-Acetamido-2-deoxy-D-galactose	C00128;C00055;C00984;C01132	"617.1579;326.0566,362.0125,326.0566;180.0645;221.0881,260.0516"
Ascorbate (Vitamin C) and Aldarate Metabolism	5	12	0.001639775	Phenylacetaldehyde; alpha-Tolualdehyde$Lipoate; Lipoic acid; alpha-Lipoic acid; Thioctic acid$L-Gulonate; L-Gulonic acid; Gulonate; Gulonic acid$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione$Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione	C00601;C00725;C00800;C00051;C00127	"205.028;207.051;281.0256;310.0853,310.0853,309.0929;614.1602"
Vitamin B9 (folate) metabolism	4	8	0.001672651	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$N-Formyl-L-glutamate$Folate; Pteroylglutamic acid; Folic acid$10-Formyltetrahydrofolyl L-glutamate; 10-Formyl-THF-L-glutamate	C00025;C01045;C00504;C05928	"170.0414;177.0596;443.1493,221.5757,442.1462;313.103"
